category,dig&135,dig&180,dig&225,dig&270,135&180,180&225,225&270
comedy,2.115,2.155,2.397,2.580,0.041,0.242,0.182
entertainment,2.625,2.841,3.245,3.502,0.217,0.404,0.257
film,2.028,2.253,2.477,2.683,0.226,0.223,0.206
gaming,3.127,3.207,3.484,3.732,0.080,0.277,0.248
news,2.831,3.122,3.202,3.318,0.291,0.080,0.116
music,1.271,1.727,2.107,2.526,0.456,0.380,0.419
education,1.860,2.121,2.323,2.500,0.261,0.203,0.177
howto,2.379,2.555,2.763,3.004,0.176,0.208,0.240
autos,2.379,2.574,2.711,2.888,0.195,0.137,0.177
people,2.200,2.379,2.577,2.882,0.179,0.198,0.305
science,2.788,2.962,3.222,3.516,0.174,0.260,0.293
sports,2.981,3.141,3.354,3.355,0.160,0.213,0.001
travel,2.601,2.732,2.742,2.868,0.131,0.009,0.126
